system:index,class,count,total_area,year,.geo
1_1_0,C1_<1ha,1553,1110.452717243087,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,C2_1-50ha,2040,7457.565013073567,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2,C3_50-100ha,37,2543.5578463061624,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_3,C4_100-200ha,12,1840.7154271253655,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_4,C5_200-300ha,4,930.045287499566,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_5,C6_>300ha,10,24737.17171153176,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,C1_<1ha,527,359.1350717166604,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,C2_1-50ha,528,2949.2267834572067,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,C3_50-100ha,20,1323.617244346944,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,C4_100-200ha,13,1842.3674297299942,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,C5_200-300ha,5,1150.3333646305798,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,C6_>300ha,10,11815.007281585165,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,C1_<1ha,549,386.11676856173983,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,C2_1-50ha,678,3594.291951658258,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,C3_50-100ha,13,909.8437152533505,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,C4_100-200ha,11,1645.5716213524083,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,C5_200-300ha,2,455.1955450278633,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,C6_>300ha,5,6449.831009737749,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
